Categoria;Facultad;ResearchGate.SI.NO;SEDICI.SI.NO;Memoria.SI.NO;Naturalis.SI.NO
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;NO;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;NO;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;NO
III;FCNYM;NO;NO;NO;SI
IV;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;NO;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;NO;NO;SI
II;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;NO;NO;SI
I;FCNYM;NO;SI;NO;SI
IV;FCNYM;NO;NO;NO;SI
IV;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
II;FCNYM;SI;SI;NO;NO
V;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;NO;NO;SI
I;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;SI;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;NO;NO;NO;SI
II;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;NO;NO;SI
V;FCNYM;NO;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;NO;NO;SI
V;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;SI;SI
III;FCNYM;NO;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;NO;NO;SI
I;FCNYM;NO;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;NO;NO;SI
V;FCNYM;NO;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;NO;NO;NO
III;FCNYM;SI;NO;NO;SI
IV;FCNYM;NO;NO;NO;SI
I;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;NO;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;NO;NO;SI
II;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;SI;NO;NO
II;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;SI;SI
II;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;SI;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;NO;SI;SI;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;NO;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;NO;NO;SI
IV;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;NO;NO;SI
IV;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;NO;NO;SI
II;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;NO;NO;NO;SI
III;FCNYM;NO;NO;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;NO;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;NO;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
II;FCNYM;SI;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;SI;SI
IV;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
II;FCNYM;NO;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
I;FCNYM;NO;SI;NO;SI
V;FCNYM;NO;SI;SI;SI
III;FCNYM;NO;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;SI;NO;SI
III;FCNYM;NO;SI;NO;SI
I;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
IV;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;SI;SI;NO;SI
III;FCNYM;SI;SI;NO;SI
V;FCNYM;NO;NO;NO;SI
I;FCE;SI;SI;NO;NO
IV;FCE;NO;SI;NO;NO
I;FCE;NO;SI;NO;NO
IV;FCE;SI;SI;NO;NO
III;FCE;SI;SI;NO;NO
I;FCE;NO;NO;NO;NO
