Categoria;Facultad;Sexo;ResearchG;SEDICI;tipo;Memoria;Naturalis
IV;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;NA;NO;SI
V;FCNYM;F;SI;SI;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;SI
V;FCNYM;F;SI;NO;NA;NO;SI
III;FCNYM;F;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;NO;NA;NO;SI
I;FCNYM;M;SI;SI;NA;NO;SI
III;FCNYM;F;SI;SI;tesis;NO;SI
III;FCNYM;F;SI;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
II;FCNYM;F;NO;SI;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;SI
V;FCNYM;F;SI;SI;tesis;NO;NO
III;FCNYM;F;NO;NO;NA;NO;SI
IV;FCNYM;M;NO;SI;NA;NO;SI
I;FCNYM;M;SI;SI;NA;NO;SI
II;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;tesis;NO;SI
V;FCNYM;F;SI;SI;tesis;NO;SI
III;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
V;FCNYM;F;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;M;NO;SI;NA;NO;SI
I;FCNYM;M;SI;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
IV;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;M;NO;NO;NA;NO;SI
I;FCNYM;F;SI;SI;tesis;NO;SI
II;FCNYM;F;NO;SI;NA;NO;SI
II;FCNYM;NA;NO;SI;NA;NO;SI
IV;FCNYM;M;SI;NO;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;F;NO;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;tesis;NO;SI
II;FCNYM;F;SI;SI;tesis;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
III;FCNYM;F;NO;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
II;FCNYM;F;NO;NO;NA;NO;SI
I;FCNYM;F;NO;SI;NA;NO;SI
IV;FCNYM; M;NO;NO;NA;NO;SI
IV;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;F;NO;SI;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;NO
V;FCNYM;M;SI;SI;NA;NO;SI
I;FCNYM;F;NO;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
I;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
I;FCNYM;M;NO;NO;NA;NO;SI
I;FCNYM;M;SI;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;SI;SI
III;FCNYM;F;NO;SI;NA;NO;SI
IV;FCNYM;M;NO;NO;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
II;FCNYM;M;NO;NO;NA;NO;SI
V;FCNYM;F;NO;SI;NA;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
II;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;M;NO;SI;NA;NO;SI
V;FCNYM;F;SI;SI;tesis;NO;SI
V;FCNYM;M;SI;SI;tesis;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
V;FCNYM;F;SI;NO;NA;NO;SI
V;FCNYM;F;NO;SI;tesis;NO;SI
III;FCNYM;F;NO;SI;tesis;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;M;SI;SI;NA;SI;SI
III;FCNYM;F;NO;SI;NA;NO;SI
V;FCNYM;M;SI;SI;NA;NO;SI
II;FCNYM;M;NO;SI;NA;NO;SI
IV;FCNYM;F;SI;NO;NA;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
I;FCNYM;M;NO;SI;tesis;NO;SI
III;FCNYM;F;NO;NO;NA;NO;SI
V;FCNYM;M;NO;SI;NA;NO;SI
II;FCNYM;F;NO;SI;NA;NO;SI
I;FCNYM;M;SI;SI;NA;NO;SI
II;FCNYM;M;SI;SI;tesis;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
II;FCNYM;M;NO;SI;NA;NO;SI
IV;FCNYM;M;SI;NO;NA;NO;NO
III;FCNYM;F;SI;NO;NA;NO;SI
IV;FCNYM;M;NO;NO;NA;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
III;FCNYM;F;NO;NO;NA;NO;SI
III;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;M;SI;SI;NA;NO;SI
IV;FCNYM;M;SI;SI;NA;NO;SI
III;FCNYM;M;NO;NO;NA;NO;SI
II;FCNYM;M;SI;SI;NA;NO;SI
V;FCNYM;M;NO;SI;NA;NO;NO
II;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;M;NO;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
III;FCNYM;F;NO;SI;NA;NO;SI
IV;FCNYM;F;SI;SI;tesis;NO;SI
V;FCNYM;F;NO;SI;NA;NO;SI
I;FCNYM;F;SI;SI;NA;NO;SI
II;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;F;SI;SI;NA;NO;SI
II;FCNYM;F;NO;SI;NA;NO;SI
III;FCNYM;F;SI;SI;NA;NO;SI
I;FCNYM;M;SI;SI;NA;SI;SI
II;FCNYM;M;SI;SI;NA;NO;SI
III;FCNYM;F;NO;SI;tesis;NO;SI
III;FCNYM;M;SI;SI;tesis;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
IV;FCNYM;M;SI;SI;NA;NO;SI
I;FCNYM;M;NO;SI;NA;NO;SI
